invoice_number,line_number,supplier_id,invoice_date,po_number,po_line_number,currency,item_code,invoiced_quantity,unit_price
INV-001,1,SUP-ALPHA,2026-01-10,PO-001,1,MAD,LAPTOP-STAND,10,250.00
INV-002,1,SUP-BETA,2026-01-11,PO-002,1,MAD,PAPER-A4,20,42.00
INV-003,1,SUP-GAMMA,2026-01-12,PO-003,1,USD,MONITOR-24,5,215.00
INV-004,1,SUP-ALPHA,2026-01-16,PO-004,1,MAD,CABLE-USBC,100,30.00
INV-005-A,1,SUP-DELTA,2026-01-17,PO-005,1,EUR,CHAIR-ERG,70,85.00
INV-005-B,1,SUP-DELTA,2026-01-18,PO-005,1,EUR,CHAIR-ERG,50,85.00
INV-006,1,SUP-EPSILON,2026-01-18,PO-006,1,MAD,DESK-LAMP,12,180.00
INV-007,1,SUP-OTHER,2026-01-18,PO-007,1,MAD,KEYBOARD,8,350.00
INV-008,1,SUP-ETA,2026-01-19,PO-008,1,EUR,LAPTOP-14,3,900.00
INV-008,2,SUP-ETA,2026-01-19,PO-008,2,EUR,DOCK-USBC,3,120.00
INV-009,1,SUP-THETA,2026-01-19,PO-009,1,EUR,ROUTER,10,75.00
INV-010,1,SUP-IOTA,2026-01-20,PO-010,1,MAD,HEADSET,11,275.00
INV-011,1,SUP-KAPPA,2026-01-20,PO-011,1,MAD,WEBCAM-HD,5,160.00
INV-UNKNOWN,1,SUP-UNKNOWN,2026-01-20,PO-999,1,MAD,TONER,2,400.00
INV-012,1,SUP-LAMBDA,2026-01-21,PO-012,1,MAD,SSD-1TB,4,820.00
INV-012,1,SUP-LAMBDA,2026-01-21,PO-012,1,MAD,SSD-1TB,4,820.00
INV-013,1,SUP-MU,2026-01-22,PO-013,1,USD,WEBCAM-HD,2,101.50
