receipt_id,line_number,po_number,po_line_number,receipt_date,item_code,received_quantity
REC-001,1,PO-001,1,2026-01-08,LAPTOP-STAND,10
REC-002,1,PO-002,1,2026-01-09,PAPER-A4,18
REC-003,1,PO-003,1,2026-01-10,MONITOR-24,5
REC-004-A,1,PO-004,1,2026-01-11,CABLE-USBC,40
REC-004-B,1,PO-004,1,2026-01-13,CABLE-USBC,35
REC-004-C,1,PO-004,1,2026-01-15,CABLE-USBC,25
REC-005,1,PO-005,1,2026-01-14,CHAIR-ERG,100
REC-007,1,PO-007,1,2026-01-15,KEYBOARD,8
REC-008,1,PO-008,1,2026-01-16,LAPTOP-14,3
REC-008,2,PO-008,2,2026-01-16,DOCK-USBC,3
REC-009,1,PO-009,1,2026-01-17,ROUTER,10
REC-010,1,PO-010,1,2026-01-18,HEADSET,12
REC-011,1,PO-011,1,2026-01-19,MOUSE-WL,5
REC-012,1,PO-012,1,2026-01-20,SSD-1TB,4
REC-013,1,PO-013,1,2026-01-21,WEBCAM-HD,2
