po_number,line_number,supplier_id,order_date,currency,item_code,description,ordered_quantity,unit_price
PO-001,1,SUP-ALPHA,2026-01-05,MAD,LAPTOP-STAND,Adjustable laptop stand,10,250.00
PO-002,1,SUP-BETA,2026-01-06,MAD,PAPER-A4,A4 paper case,20,42.00
PO-003,1,SUP-GAMMA,2026-01-07,USD,MONITOR-24,24-inch monitor,5,200.00
PO-004,1,SUP-ALPHA,2026-01-08,MAD,CABLE-USBC,USB-C cable,100,30.00
PO-005,1,SUP-DELTA,2026-01-09,EUR,CHAIR-ERG,Ergonomic chair,100,85.00
PO-006,1,SUP-EPSILON,2026-01-10,MAD,DESK-LAMP,LED desk lamp,12,180.00
PO-007,1,SUP-ZETA,2026-01-11,MAD,KEYBOARD,Mechanical keyboard,8,350.00
PO-008,1,SUP-ETA,2026-01-12,EUR,LAPTOP-14,14-inch laptop,3,900.00
PO-008,2,SUP-ETA,2026-01-12,EUR,DOCK-USBC,USB-C docking station,3,120.00
PO-009,1,SUP-THETA,2026-01-13,USD,ROUTER,Office router,10,75.00
PO-010,1,SUP-IOTA,2026-01-14,MAD,HEADSET,USB headset,10,275.00
PO-011,1,SUP-KAPPA,2026-01-15,MAD,MOUSE-WL,Wireless mouse,5,160.00
PO-012,1,SUP-LAMBDA,2026-01-16,MAD,SSD-1TB,1 TB solid-state drive,4,820.00
PO-013,1,SUP-MU,2026-01-17,USD,WEBCAM-HD,HD webcam,2,100.00
